"","ZIP","latitude","longitude"
"1",601,18.180555,-66.749961
"2",602,18.361945,-67.175597
"3",603,18.455183,-67.119887
"4",606,18.158327,-66.932928
"5",610,18.295366,-67.125135
"6",612,18.402253,-66.711397
"7",616,18.420412,-66.671979
"8",617,18.447538,-66.557681
"9",622,17.991245,-67.153993
"10",623,18.083361,-67.153897
"11",624,18.064919,-66.716683
"12",627,18.4126,-66.863926
"13",631,18.190607,-66.832041
"14",637,18.076713,-66.947389
"15",638,18.295913,-66.515588
"16",641,18.263097,-66.712963
"17",646,18.43315,-66.285875
"18",647,17.963613,-66.947127
"19",650,18.349416,-66.578079
"20",652,18.44844,-66.59411
"21",653,17.985033,-66.886536
"22",656,18.053539,-66.792931
"23",659,18.407226,-66.808999
"24",660,18.134695,-67.116199
"25",662,18.468297,-67.015751
"26",664,18.21033,-66.591616
"27",667,18.003422,-67.03581
"28",669,18.277102,-66.869645
"29",670,18.240187,-66.988776
"30",674,18.422908,-66.489337
"31",676,18.377637,-67.079574
"32",677,18.332568,-67.227022
"33",678,18.434099,-66.927384
"34",680,18.178225,-67.151514
"35",682,18.221464,-67.156039
"36",683,18.1078,-67.037263
"37",685,18.332929,-66.959689
"38",687,18.319026,-66.420557
"39",688,18.382311,-66.626416
"40",690,18.49551,-67.098671
"41",692,18.410188,-66.336556
"42",693,18.422987,-66.397214
"43",694,18.483063,-66.392379
"44",698,18.064848,-66.856319
"45",703,18.248401,-66.130662
"46",704,17.96577,-66.219555
"47",705,18.128961,-66.266683
"48",707,18.014055,-65.920751
"49",714,18.003025,-66.046237
"50",715,18.011233,-66.560065
"51",716,17.991269,-66.606774
"52",717,18.003222,-66.614037
"53",718,18.231988,-65.759623
"54",719,18.28992,-66.25344
"55",720,18.217946,-66.428076
"56",723,18.043498,-66.015479
"57",725,18.218819,-66.042375
"58",727,18.215308,-66.073565
"59",728,17.989853,-66.664116
"60",729,18.323585,-65.883206
"61",730,18.030831,-66.616838
"62",731,18.109947,-66.635622
"63",735,18.252603,-65.682494
"64",736,18.103624,-66.151667
"65",738,18.308717,-65.738915
"66",739,18.177233,-66.160645
"67",740,18.331178,-65.634104
"68",741,18.163855,-65.754042
"69",745,18.352216,-65.817387
"70",751,18.001317,-66.252183
"71",754,18.147107,-65.976167
"72",757,17.995441,-66.391334
"73",765,18.130096,-65.439369
"74",766,18.133197,-66.476659
"75",767,18.069489,-65.896161
"76",769,18.1038,-66.357586
"77",771,18.187148,-65.871189
"78",772,18.438944,-65.90522
"79",773,18.342888,-65.723109
"80",775,18.326599,-65.30772
"81",777,18.224133,-65.908542
"82",778,18.264076,-65.97851
"83",780,18.102834,-66.568105
"84",782,18.225708,-66.221633
"85",783,18.30391,-66.326179
"86",784,18.010714,-66.133615
"87",786,18.155424,-66.229907
"88",791,18.136782,-65.821476
"89",794,18.200018,-66.309282
"90",795,18.060494,-66.500624
"91",801,18.349806,-64.974001
"92",802,18.340709,-64.923329
"93",820,17.7431,-64.686556
"94",823,17.723548,-64.745932
"95",824,17.744557,-64.682933
"96",830,18.338559,-64.73653
"97",831,18.327293,-64.786717
"98",840,17.67788,-64.902189
"99",841,17.758634,-64.817451
"100",850,17.745949,-64.80055
"101",851,17.732228,-64.77076
"102",901,18.465369,-66.104613
"103",906,18.46446,-66.094995
"104",907,18.452553,-66.077838
"105",909,18.44161,-66.067132
"106",911,18.451159,-66.056199
"107",912,18.445334,-66.060139
"108",913,18.450002,-66.042656
"109",915,18.437179,-66.045571
"110",917,18.420674,-66.050105
"111",918,18.421022,-66.065789
"112",920,18.414292,-66.088042
"113",921,18.392292,-66.088528
"114",923,18.409029,-66.038586
"115",924,18.399186,-66.01258
"116",925,18.400296,-66.050602
"117",926,18.3454,-66.051545
"118",927,18.388011,-66.072089
"119",934,18.411313,-66.124234
"120",936,18.395463,-66.073772
"121",949,18.430696,-66.212833
"122",950,18.459699,-66.233101
"123",951,18.42753,-66.253789
"124",952,18.427448,-66.182026
"125",953,18.360729,-66.251527
"126",956,18.321137,-66.170419
"127",957,18.368371,-66.1878
"128",959,18.385785,-66.155654
"129",960,18.416641,-66.144555
"130",961,18.413307,-66.164683
"131",962,18.444614,-66.148819
"132",965,18.433757,-66.114752
"133",966,18.401521,-66.117597
"134",968,18.406085,-66.101232
"135",969,18.368062,-66.108062
"136",971,18.318884,-66.11919
"137",976,18.33618,-65.994101
"138",979,18.444394,-66.030035
"139",982,18.411261,-65.992045
"140",983,18.416737,-65.974862
"141",985,18.410774,-65.947927
"142",987,18.338161,-65.941083
"143",1001,42.062368,-72.625754
"144",1002,42.364031,-72.458759
"145",1003,42.389698,-72.524009
"146",1005,42.418884,-72.112077
"147",1007,42.27901,-72.400468
"148",1008,42.190191,-72.954263
"149",1009,42.209669,-72.339743
"150",1010,42.128176,-72.205352
"151",1011,42.290128,-72.966516
"152",1012,42.375425,-72.858192
"153",1013,42.154903,-72.602804
"154",1020,42.172611,-72.56192
"155",1022,42.197741,-72.542713
"156",1026,42.465495,-72.918267
"157",1027,42.295008,-72.751877
"158",1028,42.062378,-72.498111
"159",1029,42.193395,-73.044647
"160",1030,42.072925,-72.686972
"161",1031,42.32938,-72.198156
"162",1032,42.457613,-72.81478
"163",1033,42.244949,-72.500143
"164",1034,42.093912,-72.961103
"165",1035,42.356491,-72.568632
"166",1036,42.071188,-72.417718
"167",1037,42.376036,-72.197364
"168",1038,42.379925,-72.604045
"169",1039,42.404287,-72.688924
"170",1040,42.211656,-72.642448
"171",1050,42.286762,-72.869695
"172",1053,42.356301,-72.713584
"173",1054,42.468898,-72.484579
"174",1056,42.183577,-72.457812
"175",1057,42.093596,-72.321494
"176",1060,42.321251,-72.630395
"177",1062,42.323033,-72.701789
"178",1063,42.318882,-72.63853
"179",1066,42.406909,-72.655015
"180",1068,42.350862,-72.044248
"181",1069,42.188862,-72.30648
"182",1070,42.518446,-72.919017
"183",1071,42.160064,-72.87384
"184",1072,42.456968,-72.417244
"185",1073,42.226949,-72.741588
"186",1074,42.387603,-72.09323
"187",1075,42.256532,-72.580248
"188",1077,42.05257,-72.777353
"189",1079,42.194327,-72.328888
"190",1080,42.185727,-72.361558
"191",1081,42.061313,-72.234411
"192",1082,42.299749,-72.279164
"193",1083,42.203642,-72.194599
"194",1084,42.39237,-72.882235
"195",1085,42.153503,-72.771602
"196",1086,42.130446,-72.793967
"197",1088,42.391709,-72.646494
"198",1089,42.125451,-72.649734
"199",1092,42.191868,-72.235108
"200",1093,42.441943,-72.661817
"201",1094,42.359108,-72.1368
"202",1095,42.138527,-72.420703
"203",1096,42.397138,-72.763554
"204",1097,42.178038,-72.832612
"205",1098,42.394315,-72.943115
"206",1103,42.104106,-72.592027
"207",1104,42.134009,-72.565378
"208",1105,42.099958,-72.580765
"209",1106,42.048054,-72.569275
"210",1107,42.12106,-72.607068
"211",1108,42.080692,-72.560791
"212",1109,42.119674,-72.549726
"213",1118,42.094587,-72.525219
"214",1119,42.124978,-72.51121
"215",1128,42.092296,-72.489135
"216",1129,42.118671,-72.488203
"217",1151,42.15186,-72.509131
"218",1199,42.120563,-72.604468
"219",1201,42.448236,-73.273727
"220",1220,42.623808,-73.116741
"221",1222,42.058703,-73.322175
"222",1223,42.312225,-73.110124
"223",1224,42.513163,-73.195743
"224",1225,42.563401,-73.153335
"225",1226,42.481119,-73.135073
"226",1229,42.277932,-73.332032
"227",1230,42.173196,-73.32429
"228",1235,42.425677,-73.063028
"229",1236,42.266496,-73.378393
"230",1237,42.537915,-73.271649
"231",1238,42.297501,-73.230148
"232",1240,42.367858,-73.269763
"233",1242,42.333734,-73.249199
"234",1243,42.350122,-73.024112
"235",1244,42.118094,-73.257497
"236",1245,42.186893,-73.223105
"237",1247,42.698526,-73.0843
"238",1253,42.206683,-73.113214
"239",1254,42.382019,-73.365492
"240",1255,42.107496,-73.118607
"241",1256,42.594166,-73.02232
"242",1257,42.085244,-73.367483
"243",1258,42.10928,-73.462886
"244",1259,42.075469,-73.234376
"245",1260,42.295695,-73.342544
"246",1262,42.292202,-73.319209
"247",1264,42.23159,-73.202428
"248",1266,42.312354,-73.388044
"249",1267,42.671617,-73.246981
"250",1270,42.515272,-73.031166
"251",1301,42.626761,-72.60153
"252",1330,42.513947,-72.821517
"253",1331,42.562394,-72.191044
"254",1337,42.689307,-72.582289
"255",1338,42.572488,-72.824145
"256",1339,42.603776,-72.889644
"257",1340,42.694731,-72.710956
"258",1341,42.492124,-72.709827
"259",1342,42.543889,-72.609458
"260",1343,42.657625,-72.978933
"261",1344,42.613418,-72.426428
"262",1346,42.693268,-72.823116
"263",1347,42.559294,-72.518753
"264",1349,42.563061,-72.482115
"265",1350,42.727772,-72.985346
"266",1351,42.53988,-72.521689
"267",1354,42.624101,-72.508607
"268",1355,42.458551,-72.327191
"269",1360,42.677091,-72.453876
"270",1364,42.605437,-72.292074
"271",1366,42.475621,-72.192468
"272",1367,42.695532,-72.909148
"273",1368,42.679456,-72.176935
"274",1370,42.593376,-72.726928
"275",1373,42.475481,-72.615403
"276",1375,42.466691,-72.546751
"277",1376,42.59528,-72.555002
"278",1378,42.673533,-72.353213
"279",1379,42.556308,-72.407153
"280",1420,42.584925,-71.816862
"281",1430,42.657005,-71.923442
"282",1431,42.676293,-71.832523
"283",1432,42.564663,-71.567298
"284",1434,42.539753,-71.61233
"285",1436,42.602059,-72.087015
"286",1438,42.562243,-72.031402
"287",1440,42.588337,-71.986069
"288",1450,42.611636,-71.564743
"289",1451,42.501908,-71.568201
"290",1452,42.495111,-72.002339
"291",1453,42.519967,-71.763319
"292",1460,42.535931,-71.490569
"293",1462,42.582607,-71.720464
"294",1463,42.670643,-71.602858
"295",1464,42.573654,-71.640986
"296",1467,42.489495,-71.609346
"297",1468,42.542767,-72.068345
"298",1469,42.664794,-71.695055
"299",1473,42.5546,-71.90544
"300",1474,42.669685,-71.752751
"301",1475,42.66816,-72.055644
"302",1501,42.198708,-71.846006
"303",1503,42.384929,-71.633889
"304",1504,42.039991,-71.532406
"305",1505,42.355049,-71.716157
"306",1506,42.180807,-72.107888
"307",1507,42.133935,-71.968025
"308",1510,42.411887,-71.690005
